#header
Geneid	Chr	Start	End	Strand	Length	bamfiles/Wt1-1a_1415.bam	bamfiles/Wt1-1b_1415.bam	bamfiles/Wt1-1c_1415.bam	bamfiles/Wt1-2a_1415.bam	bamfiles/Wt1-2b_1415.bam	bamfiles/Wt1-3a_1415.bam	bamfiles/Wt1-3b_1415.bam	bamfiles/Wt1-3c_1415.bam	bamfiles/Wt1-4a_1415.bam	bamfiles/Wt1-4b_1415.bam	bamfiles/Wt1-4c_1415.bam	bamfiles/Wt1-5a_1415.bam	bamfiles/Wt1-5b_1415.bam	bamfiles/Wt1-5c_1415.bam	bamfiles/Wt1-6b_1415.bam	bamfiles/Wt1-6c_1415.bam	bamfiles/Wt2-1a_1415.bam	bamfiles/Wt2-1b_1415.bam	bamfiles/Wt2-1c_1415.bam	bamfiles/Wt2-2b_1415.bam	bamfiles/Wt2-2c_1415.bam	bamfiles/Wt2-3a_1415.bam	bamfiles/Wt2-3b_1415.bam	bamfiles/Wt2-3c_1415.bam	bamfiles/Wt2-4a_1415.bam	bamfiles/Wt2-5a_1415.bam	bamfiles/Wt2-5b_1415.bam	bamfiles/Wt2-5c_1415.bam	bamfiles/Wt2-6a_1415.bam	bamfiles/Wt2-6b_1415.bam	bamfiles/Wt2-6c_1415.bam
pdam_00000312	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	478170;478787;479144;479533;480140;481780;481989	478328;478910;479184;479689;480253;481836;482053	-;-;-;-;-;-;-	717	15	12	10	5	30	23	11	10	13	19	25	9	15	33	16	35	24	18	11	2	6	8	13	21	3	25	22	9	42	34	22
pdam_00000313	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	483560;485775;486269;486538;487102;487404;487818	485512;485872;486353;486636;487314;487469;488563	-;-;-;-;-;-;-	3260	238	228	231	156	175	147	166	177	160	166	213	179	377	317	362	386	405	292	173	25	156	169	189	162	234	262	324	200	348	272	301
pdam_00000314	SczhEnG_1415	483765	484190	+	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pdam_00000315	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	488847;490468;491558;491829;492208;492554;493028;493845;494544;495148;495924	489114;490620;491614;491930;492290;492628;493070;493925;494651;495272;496091	+;+;+;+;+;+;+;+;+;+;+	1263	53	47	42	14	39	47	44	55	35	33	28	32	66	68	59	66	82	50	76	2	29	29	42	32	43	61	88	17	73	56	77
pdam_00000316	SczhEnG_1415;SczhEnG_1415	503268;504342	503626;505003	+;+	1021	119	126	154	60	156	48	85	91	61	64	52	66	131	143	149	160	206	155	94	12	68	67	63	63	71	132	172	83	150	103	135
pdam_00000317	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	505843;508366;509346;509947;510714;511521;512070;513267;520781;521091;521817	506950;508559;509441;510168;510959;511649;512654;513496;520986;521324;521911	-;-;-;-;-;-;-;-;-;-;-	3345	923	665	869	468	604	615	739	607	533	488	622	525	1198	1154	1060	1159	1362	687	663	61	643	506	705	604	571	1261	984	621	1219	864	929
pdam_00000318	SczhEnG_1415	527348	528250	+	903	119	57	142	71	74	86	61	114	53	39	51	43	127	160	111	121	138	41	91	8	100	45	94	58	37	62	140	35	131	117	103
pdam_00000319	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	530155;530453;531152;531494;531662;532690	530221;530491;531331;531501;532023;532750	+;+;+;+;+;+	717	1	0	0	1	0	0	1	0	0	0	1	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
pdam_00000320	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	532324;533923;534883;535375;536351;537240;538122;539148	533538;534047;535110;535414;536399;537379;538161;539357	-;-;-;-;-;-;-;-	2047	87	82	114	62	88	106	92	129	88	110	100	89	148	194	126	184	185	92	77	6	54	65	90	111	121	139	213	60	206	153	190
pdam_00000321	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	540823;540966;542614;543410;543867;544110;544737;544934;545133;545712;547008;547483;547711;548098;548370	540864;541147;542689;543602;543987;544242;544846;544997;545267;546771;547045;547564;547803;548180;548810	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2853	93	135	131	70	129	103	120	118	91	99	138	132	209	219	181	235	251	127	136	13	88	74	160	105	124	196	185	84	302	236	229
pdam_00000322	SczhEnG_1415	549987	550466	+	480	12	9	12	8	11	15	21	6	9	8	10	8	17	16	10	27	16	3	8	1	2	1	6	11	4	18	14	10	18	14	15
pdam_00000323	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	551660;553651;554098;554467	552337;553823;554311;555165	-;-;-;-	1764	1683	1271	2042	674	649	1014	759	739	1057	572	739	1009	2027	2018	1604	1961	2652	1287	1472	132	1626	914	1167	823	705	1540	1857	1012	1848	1195	1344
pdam_00000324	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	557693;559534;560085;560635;560840;561162;561360;562188;562528;562733;562984;563281;563852;564235;564548;564776;564932;565079;565333;565837;566178	558929;559577;560146;560734;560935;561222;561464;562230;562608;562795;563030;563356;563926;564276;564589;564805;564996;565162;565390;565913;566355	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2666	702	722	751	437	569	517	592	538	524	460	679	604	1086	952	1092	826	1315	692	592	44	395	395	526	405	660	908	899	465	896	792	948
pdam_00000325	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	567867;570161;570279	569458;570211;570519	-;-;-	1884	385	420	508	241	277	287	346	316	376	297	404	362	778	676	603	724	962	485	411	36	509	368	372	316	300	727	644	472	748	590	576
pdam_00000326	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	570787;572473;573814;574045;574700;575427;575659	571015;572949;573881;574206;574864;575516;576902	+;+;+;+;+;+;+	2435	352	388	452	250	336	254	386	207	347	369	373	430	542	547	529	597	904	593	371	48	286	339	549	651	385	845	629	367	752	591	761
pdam_00000327	SczhEnG_1415	577157	578134	-	978	11	9	6	6	5	8	8	7	6	5	11	13	21	16	20	22	19	16	8	0	9	12	23	16	12	19	15	9	26	14	17
pdam_00000328	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	581034;581467;581681;582505;582849;586090;586634;587084;587317;587717;588047	581295;581561;581930;582587;582899;586517;586888;587174;587566;587799;588097	-;-;-;-;-;-;-;-;-;-;-	1899	160	37	92	107	16	4	0	8	4	0	3	40	19	3	2	3	39	0	29	1	3492	0	2	2	0	0	4	1	1	1	0
pdam_00000329	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	594025;594617;595094;595487	594359;594707;595348;595962	+;+;+;+	1157	574	86	574	49	23	40	2	84	29	0	2	4	63	94	6	19	94	2	12	1	1178	0	3	0	0	3	97	0	0	0	1
pdam_00000330	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	597489;598584;599078;600330;601515;602268;603254;604082;605132;605497;606016;606264;606847;607648;608588;609004;609604;610108;610902;611119;611891;612390;613380;613991;615047;615877;616430;616964;617275;617709;618449;619102;619687;620201;620735;621337;622100;622617;623139;623638;624060;624592;625817;626655;627185;627847;628248;628641;628819;629600;629940;630264;631109;631594;633045;633648;634377;634980;635693;636671;637397;638475	597855;598876;600081;600645;601763;602444;603476;604209;605218;605610;606156;606452;607007;607879;608677;609168;609762;610224;611004;611301;612041;612780;613502;614224;615270;616045;616533;617147;617409;617861;618637;619248;619878;620319;621029;621594;622316;622894;623426;623959;624148;624831;626014;626986;627350;627999;628465;628680;628954;629843;630069;630537;631368;631932;633245;633757;634572;635136;636066;636838;637723;638621	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13170	320	364	456	258	331	327	287	383	421	255	340	407	493	609	476	589	753	300	510	55	759	273	347	347	457	458	537	338	610	688	566
pdam_00000331	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	649093;650833;651431;652345;653295;653764;654607	649422;651061;651700;652620;653570;653934;654992	+;+;+;+;+;+;+	1938	69	25	41	20	21	25	51	52	23	5	14	35	60	65	66	50	105	13	16	0	11	33	25	17	14	68	46	28	33	56	47
pdam_00000332	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	656023;656758;657609;658130;658505;658719;659581;660269;660817;661368;661539;661784;662844;663952;664139;664729;665224;665565;665870;666300;666645;666839	656160;656860;657820;658237;658591;658796;659679;660348;660864;661446;661591;661850;662993;664012;664204;664820;665268;665602;665947;666398;666690;666904	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1893	244	257	198	79	175	170	157	247	115	138	142	135	346	381	347	372	365	200	273	6	109	157	190	217	152	227	400	184	413	355	327
pdam_00000333	SczhEnG_1415;SczhEnG_1415	673341;674301	673792;674373	-;-	525	313	301	259	100	214	203	125	237	161	110	124	186	413	513	395	342	544	226	305	20	343	141	238	146	109	298	461	186	340	307	214
pdam_00000334	SczhEnG_1415;SczhEnG_1415	681215;681415	681247;682296	-;-	915	3	7	3	4	2	9	8	5	10	5	3	8	32	15	15	21	30	10	7	3	8	2	6	8	3	12	18	9	18	10	7
pdam_00000335	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	682811;683358;684338;684500;685034;685432;685851;686583;687419;688116;688396;689295;689629;690047;690960;691840;692845;693242;695423;696365;697711	683031;683927;684373;684562;685188;685445;686078;686749;687581;688199;688593;689396;689794;690198;691281;692001;693025;695009;695722;696427;697765	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5170	194	206	208	121	265	175	193	242	163	164	194	193	334	381	318	424	438	261	202	32	240	105	218	174	149	319	330	138	418	345	288
pdam_00000336	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	698358;698807;699417;699973;700616;701957;702793;703391;703893;704702	698497;698904;699551;700116;700718;702059;702866;703451;703965;705498	+;+;+;+;+;+;+;+;+;+	1728	144	99	138	60	104	82	112	127	98	91	101	90	150	167	173	202	180	109	136	5	132	80	103	96	120	139	186	89	187	163	169
pdam_00000337	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	705562;707710;708287;709653;710632;711679;712676;713272;713484	706668;707845;708507;710205;710837;711962;712854;713330;714470	+;+;+;+;+;+;+;+;+	3732	318	382	425	288	438	460	606	551	342	532	554	475	950	808	962	998	1072	622	377	56	296	454	760	678	716	1029	796	560	1399	1049	1123
pdam_00000338	SczhEnG_1415;SczhEnG_1415	715751;720584	719240;722478	+;+	5385	62	43	47	24	23	70	105	42	39	44	53	44	85	95	93	110	103	53	46	2	23	30	76	41	17	125	78	51	128	76	68
pdam_00000339	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	722783;724299;725114;725748;726888;728520;729350;730220;731558;732062;732520;732986;733537;734305	723284;724636;725263;725841;727846;728975;729559;730623;731732;732281;732713;733115;733786;735868	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5646	294	335	356	208	249	255	309	225	413	347	438	383	525	479	490	603	664	395	344	17	199	210	346	302	448	525	375	226	666	546	508
pdam_00000340	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	745449;749200;750077;750701;751144;752025;752157;752799;753167;753307;754456;755281;755942;757604;758422;758901;761111;761256;764324	748842;749339;750137;750772;751218;752071;752285;752840;753215;753360;754593;755346;756004;757719;758486;758989;761157;761301;764406	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4776	208	200	230	107	267	182	309	275	202	232	224	209	507	443	477	500	577	316	228	34	166	195	271	312	257	473	405	256	581	519	399
pdam_00000341	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	767322;768639;769301;770399;771132;772109;772917;774275;775523;775904;776250;776460;776657;777111;777397;777602;778067;778623;778852;779412;780397;781017;781250;781479;781716;782345;782579;783447;783986;784238;785440;786209;786423;787239;787718;788365;789361;789728;790207	767986;768812;769576;770674;771383;772459;772990;774337;775613;775999;776345;776549;776752;777194;777459;777694;778162;778721;778947;779507;780471;781121;781408;781574;781811;782410;782668;783545;784093;784327;785556;786292;786671;787430;787804;788745;789391;790093;790215	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5727	83	39	63	175	145	97	162	167	55	194	86	161	205	193	337	411	173	65	74	10	293	139	189	187	79	228	258	147	355	323	198
pdam_00000342	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	791505;792700;793797;794606	792156;792763;793995;794984	+;+;+;+	1294	66	66	85	30	71	35	45	58	38	45	55	40	86	92	64	75	145	68	82	5	42	33	28	33	52	74	122	40	81	70	71
pdam_00000343	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	799964;800787;801381;803177;804057;805413	800455;801033;801565;803460;804625;805537	+;+;+;+;+;+	1902	0	0	0	0	0	0	0	2	0	2	3	0	2	0	1	0	5	0	0	0	0	0	0	0	0	1	1	0	8	0	4
pdam_00000344	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	818856;819530;819873;822920;823692;824531;825171;826092	818919;819572;820458;823163;823873;824814;825730;826153	+;+;+;+;+;+;+;+	2025	8	3	0	2	1	2	0	0	3	3	8	2	5	1	6	3	14	3	0	1	10	0	3	0	4	1	4	0	5	5	4
pdam_00000345	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	840493;841318;842062;843079;843492;844235;845133;848115	840660;841359;842665;843322;843673;844539;845716;848278	+;+;+;+;+;+;+;+	2293	36569	7189	5508	121	94	207	1	344	4982	6	9889	2343	4536	488	794	4286	7230	3496	3872	259	3180	42	3	8	2380	2	3210	103	3776	6356	1373
pdam_00000346	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	850432;850745;853454;854195;855196;855797;856221;857099;857908	850541;850989;853958;854964;855374;856101;856477;857435;859372	+;+;+;+;+;+;+;+;+	4173	181	102	123	75	328	32	73	302	38	61	30	40	96	219	89	48	66	19	2	9	21	44	16	33	25	80	248	53	120	127	47
pdam_00000347	SczhEnG_1415;SczhEnG_1415	867302;868432	867736;868470	+;+	474	77	32	112	4	118	0	24	1	1	14	0	2	7	71	10	6	790	1210	3	96	5	30	11	53	10	293	119	33	151	72	199
pdam_00000348	SczhEnG_1415;SczhEnG_1415	869502;869935	869839;870019	+;+	423	1549	395	1784	67	906	28	221	33	6	181	69	29	120	1042	353	361	8832	4759	60	701	285	168	97	227	154	2609	2724	437	906	450	1940
pdam_00000349	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	876517;877636;878888;879148;879892;889095;889956;890204;890732;891872;892187;898488;900180;901617	876989;878414;879066;879461;880145;889376;890134;890517;890985;892173;892208;898950;901091;901791	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4902	366	127	578	42	380	38	88	30	31	80	190	11	53	452	62	110	3176	2310	37	236	61	45	51	161	65	1054	689	169	516	305	681
pdam_00000350	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	887847;888232;888899	888164;888410;888932	-;-;-	531	338	126	546	20	391	1	86	6	5	56	14	16	44	305	49	80	3696	3000	27	257	10	57	27	145	63	1015	679	152	452	219	688
pdam_00000351	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	901817;909794;919136;919831;920921;921827;922638;923567;924183	901856;910134;919622;920591;921099;922140;922894;923906;925343	+;+;+;+;+;+;+;+;+	3880	19169	32473	29964	9193	10179	10615	6201	6240	17641	6769	14781	24779	24912	25091	7291	15310	43595	18374	72108	1896	41253	9431	7933	4241	28039	10665	26227	11317	10995	21874	25977
pdam_00000352	SczhEnG_1415	926053	927099	-	1047	320	153	240	151	395	77	158	100	217	141	316	79	109	300	316	521	311	76	55	10	139	75	164	115	30	183	144	79	269	448	192
pdam_00000353	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	930295;932174;932903;933508;934635;935259;936046;937699	931807;932237;932978;933571;934757;935332;936213;937956	-;-;-;-;-;-;-;-	2340	56	35	74	40	26	46	41	24	29	28	47	29	86	77	61	63	58	38	84	3	57	26	40	37	33	63	73	28	31	44	29
pdam_00000354	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	931028;932463;933022;936865	931081;932539;933075;936949	+;+;+;+	270	0	0	2	0	0	1	1	1	2	1	1	3	2	1	3	1	3	1	3	0	0	0	1	0	2	0	2	0	1	0	1
pdam_00000355	SczhEnG_1415	938361	939968	+	1608	78	61	78	37	122	46	112	71	53	46	28	39	135	105	110	147	160	157	80	12	28	60	83	95	59	149	103	65	195	125	127
pdam_00000356	SczhEnG_1415;SczhEnG_1415	940988;941911	941122;942039	-;-	264	56	44	71	40	16	31	57	6	40	43	50	37	85	66	87	52	105	63	22	3	13	16	59	34	63	113	50	21	51	34	58
pdam_00000357	SczhEnG_1415;SczhEnG_1415	944220;945030	944259;945244	-;-	255	655	392	589	322	457	292	394	579	353	305	321	330	888	551	976	614	976	481	426	115	597	780	434	317	388	585	699	759	545	649	695
pdam_00000358	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	946662;946981;948004;948537;948890;949654;950358;951096;951467;952229;952574;952793;952945	946872;947060;948115;948570;949272;949830;950385;951175;951576;952302;952647;952824;955197	+;+;+;+;+;+;+;+;+;+;+;+;+	3648	351	342	377	243	316	224	299	241	269	307	456	295	524	547	462	511	670	348	254	35	205	190	333	357	343	542	477	209	632	483	472
pdam_00000359	SczhEnG_1415;SczhEnG_1415	957548;960451	958720;960587	-;-	1310	8	14	11	12	10	10	8	19	5	10	11	12	31	32	33	25	35	6	4	0	2	3	24	24	10	22	19	10	36	26	18
pdam_00000360	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	960630;961596;962830;963396	960765;961796;962985;963467	+;+;+;+	565	85	60	82	25	42	43	39	65	38	30	38	42	71	77	49	84	138	75	72	5	23	32	58	54	66	73	108	40	91	82	83
pdam_00000361	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	962965;964447;965664;966289;967421;968162;968502;969114;969457;969805;972249	964261;965259;965747;966387;967489;968236;968554;969162;969510;969885;972635	-;-;-;-;-;-;-;-;-;-;-	3061	843	1049	1308	355	583	588	650	424	696	507	485	736	1322	1125	833	939	1849	959	793	67	567	412	862	616	706	1415	1208	509	1137	842	1141
pdam_00000362	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	974247;976144;976399;977111;977820;978569;980289;981350;982142;982302	975317;976294;976492;977251;977909;978733;980342;981519;982213;982527	-;-;-;-;-;-;-;-;-;-	2234	851	930	859	501	716	805	569	903	930	625	1134	1016	1513	1451	1212	1471	1592	844	942	77	748	629	662	563	878	1173	1441	730	1537	1308	1210
pdam_00000363	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	987391;990879;991730;992949	988227;991495;992099;993866	+;+;+;+	2742	5	11	11	7	13	13	13	25	6	20	12	9	35	17	31	56	37	13	9	0	0	3	9	10	10	25	22	6	20	23	10
pdam_00000364	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	999612;1000148;1001277	999989;1000719;1001448	-;-;-	1122	4	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
pdam_00000365	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1002265;1003962;1005166	1003560;1004361;1006671	-;-;-	3202	65	54	87	55	71	102	100	141	60	68	61	96	159	162	153	200	147	65	100	4	88	104	88	110	109	137	162	105	234	227	175
pdam_00000366	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1007236;1008715;1009751;1010645;1011514;1012746;1015010	1007443;1008895;1009987;1010683;1011668;1012964;1015711	+;+;+;+;+;+;+	1741	259	254	271	139	249	168	209	217	180	177	224	207	409	341	377	377	460	301	258	20	163	133	200	138	242	385	385	180	386	265	359
pdam_00000367	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1017162;1017690;1018118;1018658	1017329;1017915;1018174;1018746	-;-;-;-	540	37	29	32	19	35	28	13	47	33	28	23	36	52	61	41	63	60	43	34	0	10	31	28	49	27	67	57	32	102	58	89
pdam_00000368	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1037650;1038017;1039105;1039686;1039898	1037717;1038526;1039164;1039766;1040157	+;+;+;+;+	979	5	3	0	0	0	0	1	0	2	0	0	0	3	1	1	2	0	0	0	0	1	0	0	3	1	0	0	0	2	5	0
